"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-03","8.28","0.12","0.0","0","49","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-04","9.17","0.00","0.0","0","52",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-05","8.50","0.00","0.0","0","48",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-06","10.96","0.00","0.0","0","46",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-07","7.38","0.00","0.0","0","46",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-08","12.08","0.00","0.0","0","55",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-09","11.18","0.02","0.0","0","65",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-10","13.87","0.18","0.5","0","49","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-11","6.49","0.00","0.0","1","38","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-12","8.50","0.16","0.0","0","48","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-13","10.29","0.00","0.0","0","49","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-04-14","13.20","0.30","0.0","0","54","    1",,,,,,"    1",
