STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 00:53,FM-12,BKN:07 60,10.00,,30,-1.1,27,-2.8,21,-6.1,69,9,350,,29.15,,,30.05,,30.04,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 01:53,FM-15,FEW:02 60,10.00,,29,-1.7,26,-3.5,19,-7.2,66,14,350,,29.17,,,30.08,0.00,30.06,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 02:53,FM-15,BKN:07 50,10.00,,28,-2.2,25,-3.9,19,-7.2,69,10,360,,29.19,3,,30.11,0.00,30.09,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 03:53,FM-15,BKN:07 42,10.00,,28,-2.2,25,-3.9,19,-7.2,69,7,010,,29.21,,,30.13,0.00,30.11,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 04:53,FM-15,BKN:07 42 OVC:08 70,10.00,,29,-1.7,26,-3.3,20,-6.7,69,6,360,,29.24,,,30.16,0.00,30.14,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 05:53,FM-15,BKN:07 46 OVC:08 65,10.00,,29,-1.7,26,-3.5,19,-7.2,66,8,350,,29.28,3,,30.20,0.00,30.18,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 06:00,FM-12,41,,,29,-1.7,26,-3.5,19,-7.2,66,8,350,,29.25,3,-0.08,30.20,,,68,28,48,6.2,,,,17,0,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 06:53,FM-15,OVC:08 49,10.00,,30,-1.1,26,-3.3,18,-7.8,61,6,360,,29.31,,,30.24,0.00,30.21,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 07:53,FM-15,OVC:08 49,10.00,,31,-0.6,26,-3.3,16,-8.9,54,7,010,,29.34,,,30.27,0.00,30.24,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,265.8,44.8831,-93.2289,2016-04-04 08:53,FM-15,FEW:02 32 BKN:07 55,10.00,,33,0.6,28,-2.4,17,-8.3,52,7,VRB,,29.36,1,,30.30,0.00,30.26,,,,,,,,,,0547,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
